amenity_id,category,subtype,name,latitude,longitude,district
N3981667375,community,playground,(unnamed playground),24.420286,54.45793,Al Maqta
N3981667376,community,playground,(unnamed playground),24.419873,54.457838,Al Maqta
N3981667378,community,playground,(unnamed playground),24.420338,54.458559,Al Maqta
N3981667379,community,playground,(unnamed playground),24.419984,54.458297,Al Maqta
N4814669731,community,playground,(unnamed playground),24.398352,54.491629,Al Maqta
N4837953227,community,playground,(unnamed playground),24.407944,54.464199,Al Maqta
N4837963522,community,playground,(unnamed playground),24.40786,54.46398,Al Maqta
N5514559924,community,playground,(unnamed playground),24.426203,54.469346,Al Maqta
W378920592,community,playground,(unnamed playground),24.41474,54.457766,Al Maqta
W383562708,community,playground,(unnamed playground),24.408051,54.46406,Al Maqta
W383595892,community,playground,(unnamed playground),24.414311,54.463563,Al Maqta
W391360930,community,playground,(unnamed playground),24.405418,54.476088,Al Maqta
N3868435392,community,park,Abu Dhabi Park,24.408292,54.46322,Al Maqta
W229636128,community,place_of_worship,Al Madina Al Riyadiyah Mosque,24.411644,54.467838,Al Maqta
W173958462,community,place_of_worship,Al Rayyana Mosque,24.411966,54.536614,Al Maqta
N4914336821,community,community_centre,CICPA Permit Section,24.424016,54.456813,Al Maqta
W384806198,community,place_of_worship,Ibn Timia Mosque,24.413661,54.469529,Al Maqta
W391554738,community,place_of_worship,Jamia Bani Hashem,24.409273,54.49372,Al Maqta
N3957148058,community,park,Khalifa Park,24.425923,54.468784,Al Maqta
N3960987395,community,park,Murjan Splash Park,24.428768,54.468268,Al Maqta
W382195794,community,park,Old Airport Garden Park,24.419145,54.459244,Al Maqta
N4863239921,community,community_centre,Seashore Villas,24.393112,54.496144,Al Maqta
N4855959922,community,community_centre,(unnamed community_centre),24.496341,54.380642,Al Maryah Island
W170998889,community,park,(unnamed park),24.511007,54.37682,Al Maryah Island
W171271323,community,park,(unnamed park),24.509707,54.375288,Al Maryah Island
W1019513626,community,park,(unnamed park),24.509771,54.403258,Al Maryah Island
W1469453563,community,park,(unnamed park),24.508979,54.374125,Al Maryah Island
N12188484999,community,place_of_worship,(unnamed place_of_worship),24.528787,54.391133,Al Maryah Island
W168449320,community,place_of_worship,(unnamed place_of_worship),24.493046,54.384018,Al Maryah Island
W739023941,community,place_of_worship,(unnamed place_of_worship),24.517973,54.379802,Al Maryah Island
W1322002783,community,place_of_worship,(unnamed place_of_worship),24.482526,54.39064,Al Maryah Island
N4126710591,community,playground,(unnamed playground),24.519136,54.371799,Al Maryah Island
N12488476873,community,playground,(unnamed playground),24.529285,54.380011,Al Maryah Island
W1019513627,community,playground,(unnamed playground),24.509931,54.403321,Al Maryah Island
W1275442950,community,playground,(unnamed playground),24.528672,54.364171,Al Maryah Island
N7119569485,community,community_centre,Abu Dhabi Youth Hub,24.508867,54.374455,Al Maryah Island
W464657963,community,place_of_worship,Al Aziz,24.492444,54.395825,Al Maryah Island
N4286602890,community,community_centre,FUN CiTY,24.496398,54.382858,Al Maryah Island
N12488476826,community,place_of_worship,Prayer Room,24.529132,54.379457,Al Maryah Island
N12488476842,community,place_of_worship,Prayer Room,24.529087,54.37954,Al Maryah Island
W281272450,community,place_of_worship,Souq Al Anshetah,24.527276,54.364791,Al Maryah Island
W224322262,community,park,(unnamed park),24.460535,54.63037,Al Raha Beach
W629222428,community,park,(unnamed park),24.473928,54.615259,Al Raha Beach
W803237881,community,park,(unnamed park),24.458456,54.608578,Al Raha Beach
W312190953,community,playground,(unnamed playground),24.451787,54.604461,Al Raha Beach
W312190954,community,playground,(unnamed playground),24.451945,54.605085,Al Raha Beach
W1228404568,community,playground,(unnamed playground),24.457869,54.59707,Al Raha Beach
W1228404588,community,playground,(unnamed playground),24.459486,54.593407,Al Raha Beach
W378640485,community,park,(unnamed park),24.45772,54.673779,Al Reef
W809887865,community,park,(unnamed park),24.45797,54.672449,Al Reef
W809887867,community,park,(unnamed park),24.453527,54.671971,Al Reef
W1013866060,community,park,(unnamed park),24.452237,54.675938,Al Reef
W1514196008,community,park,(unnamed park),24.446087,54.716073,Al Reef
W1514196033,community,park,(unnamed park),24.444471,54.717869,Al Reef
W1514196041,community,park,(unnamed park),24.442215,54.718247,Al Reef
W1514196076,community,park,(unnamed park),24.447254,54.718286,Al Reef
W1514196082,community,park,(unnamed park),24.449451,54.719214,Al Reef
W1514196103,community,park,(unnamed park),24.452713,54.722808,Al Reef
W1514196114,community,park,(unnamed park),24.45302,54.7331,Al Reef
W1514196118,community,park,(unnamed park),24.451308,54.735558,Al Reef
W1514196124,community,park,(unnamed park),24.449586,54.737099,Al Reef
W1514196131,community,park,(unnamed park),24.447259,54.738162,Al Reef
W1514196141,community,park,(unnamed park),24.444998,54.738536,Al Reef
